"","species","country","ISO","status","threat","threat_no_DD","Traded","prod","pet","pet_prod","UT_trade","Cites_trade","HC_trade","IUCN_text_trade","Source","taxa","Order","Family","genus","phyloname","phyloFamily","Body","ED","ED_95_taxa","ED_95_fam","Cites_type","Cites_purpose","Cites_pet","Cites_prod","UT_type","UT_trade_inter","UT_trade_nat","UT_trade_local","UT_trade_all","Cites_year","Cites_appendices","Cites_name","TradeCitesOrg","AppIcites","AppIIcites","AppIIIcites","AppNcites","Cites_splus","Cites_splus_listing","Cites_splus_name","Cites_lookalike","lookalike_only","API","HC_checked","HC_checked_by","keyword","IUCN_text_checked"
"49","Ichthyophis mindanaoensis","Philippines","PH","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Gymnophiona","Ichthyophiidae","Ichthyophis","Ichthyophis mindanaoensis","Ichthyophiidae",323,55.4674227955,"yes","yes",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"50","Philautus leitensis","Philippines","PH","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Philautus","Philautus leitensis","Rhacophoridae",38.5083101387507,29.7101833609213,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"51","Philautus leitensis","Philippines","PH","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Philautus","Philautus leitensis","Rhacophoridae",38.5083101387507,29.7101833609213,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"52","Philautus schmackeri","Philippines","PH","EN",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Philautus","Philautus schmackeri","Rhacophoridae",30.3,6.76596750980266,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"53","Philautus schmackeri","Philippines","PH","EN",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Philautus","Philautus schmackeri","Rhacophoridae",30.3,6.76596750980266,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"54","Platymantis pygmaeus","Philippines","PH","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ceratobatrachidae","Platymantis","Platymantis pygmaeus","Ceratobatrachidae",15.7,15.3652125303054,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"55","Platymantis naomii","Philippines","PH","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ceratobatrachidae","Platymantis","Platymantis naomii","Ceratobatrachidae",23.9,12.3137238170929,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"56","Platymantis isarog","Philippines","PH","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ceratobatrachidae","Platymantis","Platymantis isarog","Ceratobatrachidae",38.5083101387507,24.5683216469632,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"57","Rhinella marina","Philippines","PH","LC",0,0,1,1,0,"prod",0,0,0,1,"IUCN","Amphibian","Anura","Bufonidae","Rhinella","Rhinella marina","Bufonidae",241,5.45154520635061,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,1,1
"58","Philautus poecilius","Philippines","PH","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Philautus","Philautus poecilius","Rhacophoridae",38.5083101387507,21.9122850773425,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"59","Limnonectes diuatus","Philippines","PH","VU",1,1,0,0,0,"unknown",0,0,0,0,"IUCN","Amphibian","Anura","Dicroglossidae","Limnonectes","Limnonectes diuatus","Dicroglossidae",62.3,9.78655045606756,"no","no",NA,NA,0,0,"Food - human",0,0,1,1,"0","0","0",0,0,0,0,0,0,"0","0","0",0,1,"DE","DE",1,0
"60","Limnonectes woodworthi","Philippines","PH","LC",0,0,0,0,0,"prod",0,0,0,0,"IUCN","Amphibian","Anura","Dicroglossidae","Limnonectes","Limnonectes woodworthi","Dicroglossidae",75.7,10.2290247684838,"no","no",NA,NA,0,0,"Food - human",0,0,1,1,"0","0","0",0,0,0,0,0,0,"0","0","0",0,1,"DE","DE",1,0
"61","Kaloula picta","Philippines","PH","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Kaloula","Kaloula picta","Microhylidae",51.2,22.7173307174455,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"62","Platymantis mimulus","Philippines","PH","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ceratobatrachidae","Platymantis","Platymantis mimulus","Ceratobatrachidae",24.5,12.3137238170929,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"63","Platymantis mimulus","Philippines","PH","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ceratobatrachidae","Platymantis","Platymantis mimulus","Ceratobatrachidae",24.5,12.3137238170929,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"64","Ansonia mcgregori","Philippines","PH","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Ansonia","Ansonia mcgregori","Bufonidae",50,15.9267718796384,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"65","Ansonia muelleri","Philippines","PH","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Ansonia","Ansonia muelleri","Bufonidae",38,15.9267718796384,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"66","Ingerophrynus philippinicus","Philippines","PH","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Ingerophrynus","Ingerophrynus philippinicus","Bufonidae",75,12.692176062641,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"67","Ingerophrynus philippinicus","Philippines","PH","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Ingerophrynus","Ingerophrynus philippinicus","Bufonidae",75,12.692176062641,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"68","Pelophryne brevipes","Philippines","PH","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Pelophryne","Pelophryne brevipes","Bufonidae",46.4928706208311,12.4706886099018,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
