"","species","country","ISO","status","threat","threat_no_DD","Traded","prod","pet","pet_prod","UT_trade","Cites_trade","HC_trade","IUCN_text_trade","Source","taxa","Order","Family","genus","phyloname","phyloFamily","Body","ED","ED_95_taxa","ED_95_fam","Cites_type","Cites_purpose","Cites_pet","Cites_prod","UT_type","UT_trade_inter","UT_trade_nat","UT_trade_local","UT_trade_all","Cites_year","Cites_appendices","Cites_name","TradeCitesOrg","AppIcites","AppIIcites","AppIIIcites","AppNcites","Cites_splus","Cites_splus_listing","Cites_splus_name","Cites_lookalike","lookalike_only","API","HC_checked","HC_checked_by","keyword","IUCN_text_checked"
"39","Sanguirana sanguinea","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ranidae","Sanguirana","Sanguirana sanguinea","Ranidae",60.1,30.5899553273302,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"40","Pulchrana signata","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ranidae","Pulchrana","Hylarana signata","Ranidae",NA,5.76159937382846,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"41","Papurana supragrisea","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ranidae","Papurana","Hylarana supragrisea","Ranidae",NA,9.24008560961784,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"42","Staurois latopalmatus","Indonesia","ID","LC",0,0,0,0,0,"unknown",0,0,0,0,"IUCN","Amphibian","Anura","Ranidae","Staurois","Staurois latopalmatus","Ranidae",70,56.4992528192619,"yes","yes",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,1,"DE","DE",1,0
"43","Staurois tuberilinguis","Indonesia","ID","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ranidae","Staurois","Staurois tuberilinguis","Ranidae",36.7,21.5268934945655,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"44","Staurois tuberilinguis","Indonesia","ID","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ranidae","Staurois","Staurois tuberilinguis","Ranidae",36.7,21.5268934945655,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"45","Philautus aurifasciatus","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Philautus","Philautus aurifasciatus","Rhacophoridae",33,18.7252126484606,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"46","Philautus hosii","Indonesia","ID","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Philautus","Philautus hosii","Rhacophoridae",63,13.11320937389,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"47","Philautus hosii","Indonesia","ID","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Philautus","Philautus hosii","Rhacophoridae",63,13.11320937389,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"48","Philautus tectus","Indonesia","ID","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Philautus","Philautus tectus","Rhacophoridae",27,24.5354788171202,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
